"chr","chromStart","chromEnd","name","score","strand","thickStart","thickEnd","itemRgb","blockCount","blockSizes","blockStarts","geneID","ReadsCount.input","ReadsCount.IP","log2FoldChange","pvalue","padj"
"chr20",50958498,50958548,"peak_1",21.8747575304216,"-",50958498,50958548,0,1,50,0,"ENSG00000000419",34,106,1.42895371048683,2.51171135398425e-07,2.60041004787658e-07
"chrX",16841609,16841659,"peak_2",27.7830724982331,"+",16841609,16841659,0,1,50,0,"ENSG00000086712",66,176,1.20353353584737,3.74199608830688e-09,4.32973988518141e-09
"chrX",9718834,9719359,"peak_3",36.9520739495754,"+",9718834,9719359,0,1,525,0,"ENSG00000101849",28,133,2.03642359019659,5.65809664741839e-12,7.521723059272e-12
"chr17",59946638,59947063,"peak_4",31.5838631990374,"+",59946638,59947063,0,1,425,0,"ENSG00000108443.13,ENSG00000267318",14,96,2.5661036177485,2.52862937321117e-10,3.10677497412244e-10
"chr1",155338229,155341958,"peak_5",120.961573538867,"-",155338229,155341958,0,1,3729,0,"ENSG00000116539.10,ENSG00000207720",80,437,2.23805736776154,1.43098276357706e-37,3.86311860571516e-37
"chr13",106492430,106493355,"peak_6",71.5298026707569,"-",106492430,106493355,0,1,925,0,"ENSG00000125266",50,259,2.16144812471191,1.52267973288534e-22,2.93348459693841e-22
"chr4",70688478,70689453,"peak_7",32.6804868618432,"+",70688478,70689453,0,1,975,0,"ENSG00000132467",18,105,2.33281658931757,1.16028620438833e-10,1.45275768558274e-10
"chr10",95874066,95874591,"peak_8",141.05275343211,"+",95874066,95874591,0,1,525,0,"ENSG00000138185.16,ENSG00000240527",75,482,2.47256663703967,1.1559595842892e-43,3.45851963742335e-43
"chr3",37243176,37243401,"peak_9",21.4244472787731,"+",37243176,37243401,0,1,225,0,"ENSG00000144674",47,127,1.2225919063847,3.46269377566133e-07,3.5530288063579e-07
"chr1",24419454,24419629,"peak_10",39.0166937545568,"+",24419454,24419629,0,1,175,0,"ENSG00000001461",79,228,1.3176052829196,1.32099337636339e-12,1.79806276772436e-12
"chr1",24469047,24469347,"peak_11",50.957425551016,"+",24469047,24469347,0,1,300,0,"ENSG00000001461",56,218,1.749325435579,2.89574617158163e-16,4.57389728294554e-16
"chrX",65518140,65518290,"peak_12",73.657993586654,"-",65518140,65518290,0,1,150,0,"ENSG00000001497",185,500,1.22289878602571,3.4230812858532e-23,6.71018524947044e-23
"chr17",18363407,18363457,"peak_13",109.338325705848,"-",18363407,18363457,0,1,50,0,"ENSG00000176974.17,ENSG00000275820",43,352,2.82166287324492,4.84704964512251e-34,1.21866485539552e-33
"chr22",29769838,29770038,"peak_14",265.93215264271,"+",29769838,29770038,0,1,200,0,"ENSG00000184076",214,1038,2.06661968884133,1.83417298680663e-81,8.83985707017207e-81
"chr1",201507340,201507415,"peak_15",32.3279365728217,"+",201507340,201507415,0,1,75,0,"ENSG00000224536",35,134,1.72530225022752,1.48917608089917e-10,1.85490381167106e-10
"chr16",69727087,69742421,"peak_16",45.007466111666,"+",69727087,69742421,0,1,15334,0,"ENSG00000262136",52,196,1.70276616694158,1.91981759416714e-14,2.82750037735804e-14
"chr1",40258106,40258256,"peak_17",63.4141252237434,"+",40258106,40258256,0,1,150,0,"ENSG00000084073",33,210,2.45834743851389,4.52457684733075e-20,8.13665981259458e-20
"chrX",53561820,53562917,"peak_18",30.457467922635,"-",53561820,53562917,0,1,1097,0,"ENSG00000086758",27,115,1.87909863939296,5.62361123611152e-10,6.78248064833488e-10
"chr20",3165985,3166360,"peak_19",59.708345207131,"-",3165985,3166360,0,1,375,0,"ENSG00000088899",129,368,1.30083068192412,6.1329379938962e-19,1.0616884706723e-18
"chr1",35765261,35769931,"peak_20",82.5217798056083,"-",35765261,35769931,0,1,4670,0,"ENSG00000092853",210,566,1.21890868091496,6.84552982592279e-26,1.44035313736643e-25
"chr22",20953099,20953474,"peak_21",39.9938811204273,"+",20953099,20953474,0,1,375,0,"ENSG00000099942",106,276,1.16909999943178,6.62171861231879e-13,9.13360319008208e-13
"chr22",32387756,32388081,"peak_22",48.8788669548528,"-",32387756,32388081,0,1,325,0,"ENSG00000100220",116,317,1.23885402440451,1.25278586692816e-15,1.93194559641775e-15
"chr22",49886660,49887360,"peak_23",32.2345146882442,"+",49886660,49887360,0,1,700,0,"ENSG00000100426",116,270,1.00733059583895,1.59265941603525e-10,1.97899265880514e-10
"chr20",5189831,5190419,"peak_24",31.051532364356,"+",5189831,5190419,0,1,588,0,"ENSG00000101290",55,166,1.38217576577752,3.68732180146241e-10,4.49321652034032e-10
"chrX",119236244,119236369,"peak_25",43.6619963679328,"+",119236244,119236369,0,1,125,0,"ENSG00000101856",55,198,1.63649294501351,4.95627851412858e-14,7.18504384540673e-14
"chr16",48352463,48352838,"peak_26",58.2046573575221,"+",48352463,48352838,0,1,375,0,"ENSG00000102910",47,220,2.01526689900469,1.76713743717504e-18,3.01059439012666e-18
"chr16",547002,548152,"peak_27",53.6723785264013,"+",547002,548152,0,1,1150,0,"ENSG00000103326",78,264,1.54748791235123,4.28194826144956e-17,6.96633130689398e-17
"chr8",1958049,1958374,"peak_28",75.1020066291689,"+",1958049,1958374,0,1,325,0,"ENSG00000104728",81,323,1.78403635490238,1.24385200615377e-23,2.46628504838825e-23
"chr19",9854342,9856810,"peak_29",32.0641738400314,"-",9854342,9856810,0,1,2468,0,"ENSG00000105088",27,119,1.92842634823436,1.79856519554567e-10,2.22700856831767e-10
"chr19",306318,307400,"peak_30",96.4930905562331,"-",306318,307400,0,1,1082,0,"ENSG00000105556",83,380,1.98331217370896,3.86534833289952e-30,8.96778872970848e-30
"chr7",2537876,2538801,"peak_31",30.6235314533967,"-",2537876,2538801,0,1,925,0,"ENSG00000106009",17,98,2.31574307819524,4.99770666477127e-10,6.04502998425938e-10
"chr7",74400510,74404978,"peak_32",42.0006965343984,"+",74400510,74404978,0,1,4468,0,"ENSG00000106665",67,215,1.47059968574581,1.60386259482913e-13,2.27263925734215e-13
"chr10",72368226,72368301,"peak_33",45.9252042048058,"-",72368226,72368301,0,1,75,0,"ENSG00000107745",25,151,2.38304460850262,1.00511834600944e-14,1.49670419998969e-14
"chr17",18735060,18735410,"peak_34",28.5245455115623,"+",18735060,18735410,0,1,350,0,"ENSG00000108448.20,ENSG00000265693",19,96,2.12553107998293,2.21146532205471e-09,2.58974014057405e-09
"chr17",75003289,75004139,"peak_35",45.9209313262985,"+",75003289,75004139,0,1,850,0,"ENSG00000109089",58,209,1.63787417068368,1.00819412257837e-14,1.50114361017338e-14
"chr11",72109883,72110545,"peak_36",22.3693635643878,"-",72109883,72110545,0,1,662,0,"ENSG00000110200",22,86,1.75532925416613,1.76667189462115e-07,1.84565525348652e-07
"chr12",1646838,1647238,"peak_37",41.8280296721234,"+",1646838,1647238,0,1,400,0,"ENSG00000111186",97,266,1.24386559558342,1.81132442099724e-13,2.56158286308706e-13
"chr6",118815141,118815266,"peak_38",26.4435598959621,"-",118815141,118815266,0,1,125,0,"ENSG00000111877",78,192,1.08805630637884,9.72347035733255e-09,1.09570912685635e-08
"chr6",170306802,170317379,"peak_39",53.5262683137839,"+",170306802,170317379,0,1,10577,0,"ENSG00000112584",30,179,2.36542123260251,4.74899938010362e-17,7.70881603328701e-17
"chr5",32126128,32135613,"peak_40",213.69469482305,"-",32126128,32135613,0,1,9485,0,"ENSG00000113384",98,714,2.65356639335926,1.1554785636972e-65,4.69339324569235e-65
"chr3",50236120,50238203,"peak_41",84.905591722088,"+",50236120,50238203,0,1,2083,0,"ENSG00000114353",88,360,1.82091747418167,1.28591601440825e-26,2.75975222433104e-26
"chr2",74461081,74461456,"peak_42",66.1746658894814,"-",74461081,74461456,0,1,375,0,"ENSG00000115275",89,315,1.61197058779374,6.53177889601482e-21,1.20071687479958e-20
"chr2",38985620,38987477,"peak_43",44.9456359691533,"-",38985620,38987477,0,1,1857,0,"ENSG00000115904",77,240,1.42860007096863,2.00574188169266e-14,2.9513138716637e-14
"chr1",89063237,89065293,"peak_44",27.6124340044804,"-",89063237,89065293,0,1,2056,0,"ENSG00000117228",22,99,1.95842110163812,4.22378912994981e-09,4.87336692382388e-09
"chr2",205776449,205776624,"peak_45",105.588200364171,"+",205776449,205776624,0,1,175,0,"ENSG00000118257",280,746,1.20224474704022,6.64578783392287e-33,1.63977591119619e-32
"chr3",196885982,196886257,"peak_46",285.414027678699,"+",196885982,196886257,0,1,275,0,"ENSG00000119231",555,1691,1.395812905611,2.33710873910118e-87,1.20730357166183e-86
"chr5",138467852,138468452,"peak_47",Inf,"+",138467852,138468452,0,1,600,0,"ENSG00000120738",1886,10088,2.20773450369246,0,0
"chr10",123746551,123747001,"peak_48",324.323304103109,"-",123746551,123747001,0,1,450,0,"ENSG00000121898",539,1763,1.49817121926851,4.09145774984963e-99,2.33860660593923e-98
"chr10",56357777,56358252,"peak_49",51.1738243366233,"-",56357777,56358252,0,1,475,0,"ENSG00000122952",126,340,1.2206069968121,2.4876939599325e-16,3.93680480264191e-16
"chr4",109729674,109730074,"peak_50",41.9027701768209,"-",109729674,109730074,0,1,400,0,"ENSG00000123739",66,213,1.47881152853721,1.71819213936586e-13,2.43225595496868e-13
"chr13",106491255,106491430,"peak_51",31.7514985987014,"-",106491255,106491430,0,1,175,0,"ENSG00000125266",9,92,3.14213280722424,2.24479993837369e-10,2.76596394391733e-10
"chr20",18587894,18588044,"peak_52",155.593145629179,"+",18587894,18588044,0,1,150,0,"ENSG00000125821.11,ENSG00000232388",257,838,1.4936778291967,4.53149364980097e-48,1.45142983461676e-47
"chr19",49665256,49665631,"peak_53",51.0037881139377,"-",49665256,49665631,0,1,375,0,"ENSG00000126456",38,186,2.07972734851562,2.80277388927518e-16,4.42924685237022e-16
"chr9",92615933,92619536,"peak_54",249.408300138906,"-",92615933,92619536,0,1,3603,0,"ENSG00000127080",86,809,3.02222710970224,1.80377044233318e-76,8.32952988336944e-76
"chr22",50481555,50481780,"peak_55",91.6316051011914,"+",50481555,50481780,0,1,225,0,"ENSG00000128165",237,636,1.21263565678321,1.16354489063123e-28,2.60698368755362e-28
"chr15",58771266,58787936,"peak_56",Inf,"+",58771266,58787936,0,1,16670,0,"ENSG00000128923",5257,16024,1.39641858524836,0,0
"chr19",11559068,11559236,"peak_57",23.7467631015176,"-",11559068,11559236,0,1,168,0,"ENSG00000130165",33,109,1.5122863007827,6.61012143740961e-08,7.1041480987784e-08
"chr20",62294553,62294603,"peak_58",20.5808148747777,"+",62294553,62294603,0,1,50,0,"ENSG00000130703",29,94,1.48510396812019,6.29547861877179e-07,6.37613329417323e-07
"chr17",67717982,67718032,"peak_59",53.9740256875023,"+",67717982,67718032,0,1,50,0,"ENSG00000130935",68,247,1.64940041031992,3.46196049284453e-17,5.65196262522342e-17
"chr5",72199163,72199413,"peak_60",60.3996538833952,"+",72199163,72199413,0,1,250,0,"ENSG00000131711",73,272,1.68613429569767,3.77283788173054e-19,6.57494998252887e-19
"chr17",17154405,17158871,"peak_61",424.905364777828,"+",17154405,17158871,0,1,4466,0,"ENSG00000133030",521,1984,1.71755267072873,1.65427170508632e-129,1.23236649760064e-128
"chr11",64810326,64810626,"peak_62",196.134311443212,"-",64810326,64810626,0,1,300,0,"ENSG00000133895",393,1179,1.37345843203274,2.38581931734207e-60,9.07170829207119e-60
"chr10",5952471,5952746,"peak_63",35.1067450053177,"-",5952471,5952746,0,1,275,0,"ENSG00000134470.19,ENSG00000232807",84,226,1.21635755411162,2.08639131593421e-11,2.70281738221054e-11
"chr12",114680999,114683014,"peak_64",Inf,"-",114680999,114683014,0,1,2015,0,"ENSG00000135111",868,4224,2.07133879939348,0,0
"chr16",84656981,84657356,"peak_65",177.373402251359,"+",84656981,84657356,0,1,375,0,"ENSG00000135686",168,734,1.91581478859725,1.14478293506348e-54,4.0298185286129e-54
"chr13",52397549,52397624,"peak_66",37.791307720161,"-",52397549,52397624,0,1,75,0,"ENSG00000136114",97,255,1.18293659832593,3.13449291201882e-12,4.20419451101368e-12
"chr2",127706071,127708745,"peak_67",50.8625471537212,"-",127706071,127708745,0,1,2674,0,"ENSG00000136709",50,207,1.83812680687126,3.09658201876777e-16,4.8848097168887e-16
"chr8",119422980,119423280,"peak_68",158.781058116907,"+",119422980,119423280,0,1,300,0,"ENSG00000136999",104,575,2.25547440540677,4.89642869483126e-49,1.59271754269946e-48
"chr11",71996855,71997130,"peak_69",85.6938015506666,"+",71996855,71997130,0,1,275,0,"ENSG00000137522",83,353,1.87698094111169,7.40501928745398e-27,1.59806813089289e-26
"chr10",95875241,95875616,"peak_70",119.80540152091,"+",95875241,95875616,0,1,375,0,"ENSG00000138185.16,ENSG00000240527",313,840,1.21272261030029,3.20921146507218e-37,8.60955093364798e-37
"chr16",1768957,1769007,"peak_71",84.4760081551794,"+",1768957,1769007,0,1,50,0,"ENSG00000138834",61,311,2.13852944606244,1.73824502644513e-26,3.71695780786074e-26
"chr12",53187678,53188028,"peak_72",92.6217294252631,"+",53187678,53188028,0,1,350,0,"ENSG00000139651",32,293,2.98325286607707,5.82299493714034e-29,1.31244524186043e-28
"chr15",81002368,81003418,"peak_73",30.5759298363343,"+",81002368,81003418,0,1,1050,0,"ENSG00000140406",7,89,3.45687415578151,5.17086089309639e-10,6.24781230258547e-10
"chr16",87393252,87398947,"peak_74",435.277898939108,"+",87393252,87398947,0,1,5695,0,"ENSG00000140941",605,2160,1.62452018469569,1.21275025501286e-132,9.29599688960654e-132
"chr17",82228471,82229182,"peak_75",487.591688522153,"+",82228471,82229182,0,1,711,0,"ENSG00000141526.14,ENSG00000275505",394,1914,2.06881922276338,1.93863538357249e-148,1.66064238517341e-147
"chr19",3457983,3463770,"peak_76",47.7933991713931,"+",3457983,3463770,0,1,5787,0,"ENSG00000141905",70,235,1.53572995055238,2.6920318254229e-15,4.09971110848859e-15
"chr1",35715624,35716324,"peak_77",46.8979067760088,"-",35715624,35716324,0,1,700,0,"ENSG00000142686",41,181,1.93078993439244,5.05919294570137e-15,7.62646579140449e-15
"chr1",204222200,204222500,"peak_78",114.393260863647,"-",204222200,204222500,0,1,300,0,"ENSG00000143850",247,714,1.31990898014953,1.41127536790779e-35,3.66603982279791e-35
"chr3",37243526,37245381,"peak_79",236.994802870684,"+",37243526,37245381,0,1,1855,0,"ENSG00000144674",287,1096,1.72162109531631,1.02980440125593e-72,4.54417993222905e-72
"chr5",16701664,16703079,"peak_80",Inf,"-",16701664,16703079,0,1,1415,0,"ENSG00000145555",1569,8441,2.21606447747478,0,0
"chr6",42879842,42880623,"peak_81",20.3426156186648,"+",42879842,42880623,0,1,781,0,"ENSG00000146223",8,57,2.62138593608655,7.44788493099796e-07,7.52077348459314e-07
"chrX",49067789,49067989,"peak_82",60.1490898154822,"+",49067789,49067989,0,1,200,0,"ENSG00000147144",24,189,2.7657759547457,4.50074674648335e-19,7.8220349777557e-19
"chr10",104315222,104316047,"peak_83",20.3400261342458,"-",104315222,104316047,0,1,825,0,"ENSG00000148841",6,55,2.98489288264497,7.46268755581981e-07,7.53428459635154e-07
"chr11",112086657,112086798,"peak_84",58.5244408669359,"-",112086657,112086798,0,1,141,0,"ENSG00000150779",79,278,1.60365633396363,1.41034830998188e-18,2.412058405512e-18
"chr4",183260961,183261361,"peak_85",708.995913926995,"+",183260961,183261361,0,1,400,0,"ENSG00000151718",460,2594,2.28396863644852,2.9198278717677e-215,3.72360071287229e-214
"chr5",52788045,52788395,"peak_86",27.2111545209306,"+",52788045,52788395,0,1,350,0,"ENSG00000152684.10,ENSG00000213949.8,ENSG00000241809",22,98,1.94377432695036,5.6187725943548e-09,6.43615171022908e-09
"chr13",77098543,77098793,"peak_87",53.5024804223744,"-",77098543,77098793,0,1,250,0,"ENSG00000005810",48,210,1.91777905634258,4.82893882708969e-17,7.8369766073389e-17
"chr13",77096430,77097393,"peak_88",23.9395311545794,"-",77096430,77097393,0,1,963,0,"ENSG00000005810",35,113,1.47939203635795,5.76106690207825e-08,6.21559974701408e-08
"chr13",77027063,77027188,"peak_89",51.0993455076893,"-",77027063,77027188,0,1,125,0,"ENSG00000005812",106,306,1.31796338227505,2.62079782707984e-16,4.14537900381233e-16
"chr13",77021798,77026838,"peak_90",35.3686292374013,"-",77021798,77026838,0,1,5040,0,"ENSG00000005812",80,220,1.24792763639912,1.73181827183611e-11,2.2541441955665e-11
"chr13",77007211,77007686,"peak_91",175.844638161152,"-",77007211,77007686,0,1,475,0,"ENSG00000005812",84,590,2.60074970367026,3.31997045510969e-54,1.16275800158018e-53
"chr13",77000507,77000682,"peak_92",34.3546346888702,"-",77000507,77000682,0,1,175,0,"ENSG00000005812",15,105,2.59585096173737,3.54810597013337e-11,4.55223285146704e-11
"chr17",50055967,50056368,"peak_93",394.338034209733,"+",50055967,50056368,0,1,401,0,"ENSG00000005884",651,2138,1.50402832330896,2.86277594543855e-120,1.96075473159563e-119
"chr17",50089354,50090254,"peak_94",Inf,"+",50089354,50090254,0,1,900,0,"ENSG00000005884",1934,12425,2.47208205545497,0,0
"chrX",24210268,24210493,"peak_95",38.1478796682552,"+",24210268,24210493,0,1,225,0,"ENSG00000005889",28,136,2.06860399376411,2.43652398571078e-12,3.28355238172711e-12
"chrX",24210618,24210818,"peak_96",35.7090983751471,"+",24210618,24210818,0,1,200,0,"ENSG00000005889",18,113,2.43875002313992,1.36081676337775e-11,1.78028802651675e-11
"chrX",24210843,24211018,"peak_97",31.5767558698168,"+",24210843,24211018,0,1,175,0,"ENSG00000005889",26,116,1.94603736580926,2.54131369484737e-10,3.12211803085857e-10
"chrX",24211193,24211318,"peak_98",28.3250832714956,"+",24211193,24211318,0,1,125,0,"ENSG00000005889",10,82,2.82411985716501,2.54572276626353e-09,2.97372158758564e-09
"chr16",19504881,19504931,"peak_99",22.7097067619147,"-",19504881,19504931,0,1,50,0,"ENSG00000006007",26,94,1.64264524519246,1.38532005677433e-07,1.45779706636716e-07
"chr16",19503388,19503906,"peak_100",96.6518047758273,"-",19503388,19503906,0,1,518,0,"ENSG00000006007",166,528,1.45785065258882,3.45761261411968e-30,8.03355233782156e-30
"chr19",18588709,18589003,"peak_101",95.1503573222483,"+",18588709,18589003,0,1,294,0,"ENSG00000006015",203,588,1.32283238388927,9.9196805215254e-30,2.27451260443057e-29
"chr19",18589103,18589153,"peak_102",30.5279185849952,"+",18589103,18589153,0,1,50,0,"ENSG00000006015",85,215,1.12729792927518,5.34908858797094e-10,6.4592307669928e-10
"chr17",45286717,45286967,"peak_103",46.8176586844635,"-",45286717,45286967,0,1,250,0,"ENSG00000006062",68,229,1.5402369700732,5.35669641089754e-15,8.06269830152145e-15
"chr17",45264320,45264470,"peak_104",31.4146665415385,"-",45264320,45264470,0,1,150,0,"ENSG00000006062",51,160,1.43799880614163,2.84986764688136e-10,3.49335778052494e-10
