"chr","chromStart","chromEnd","name","score","strand","thickStart","thickEnd","itemRgb","blockCount","blockSizes","blockStarts","geneID","ReadsCount.input","ReadsCount.IP","log2FoldChange","pvalue","padj"
"chr20",50958448,50958548,"peak_1",32.3497062315609,"-",50958448,50958548,0,1,100,0,"ENSG00000000419",83,119,1.29984200576933,1.48651121952479e-10,1.82712421500187e-10
"chr18",5396284,5397184,"peak_2",39.198040003627,"-",5396284,5397184,0,1,900,0,"ENSG00000082397",21,70,2.5170292453201,1.17334034551991e-12,1.58567503132858e-12
"chr7",100119731,100119841,"peak_3",46.7072081160499,"-",100119731,100119841,0,1,110,0,"ENSG00000106290",34,93,2.23175964986687,5.86969606969569e-15,8.70420965864987e-15
"chr5",136153770,136154045,"peak_4",92.5794881385534,"+",136153770,136154045,0,1,275,0,"ENSG00000113658.18,ENSG00000275646.1,ENSG00000277524",51,174,2.55058181390366,6.07753905588669e-29,1.35144098963252e-28
"chr19",32969403,32969703,"peak_5",30.5584892374449,"-",32969403,32969703,0,1,300,0,"ENSG00000121289",17,54,2.44748829804479,5.29946077160901e-10,6.32379987061777e-10
"chr15",40929464,40929564,"peak_6",109.578809163648,"+",40929464,40929564,0,1,100,0,"ENSG00000128917",57,204,2.61959898322216,4.15216698310634e-34,1.03155301466047e-33
"chr5",157138786,157138961,"peak_7",96.3217437974445,"-",157138786,157138961,0,1,175,0,"ENSG00000135077.9,ENSG00000155868",98,225,1.97913499801763,4.42475813733683e-30,1.00987095666406e-29
"chr15",81002422,81002947,"peak_8",53.206534725017,"+",81002422,81002947,0,1,525,0,"ENSG00000140406.4,ENSG00000288625",154,215,1.2614699516308,6.02371080890342e-17,9.621373682176e-17
"chrX",65518055,65518330,"peak_9",93.7764443507762,"-",65518055,65518330,0,1,275,0,"ENSG00000001497",214,332,1.4136360728902,2.62898975331528e-29,5.89491250800738e-29
"chr3",50188224,50188674,"peak_10",206.498964211815,"+",50188224,50188674,0,1,450,0,"ENSG00000001617",115,396,2.5639302051468,1.79373307956163e-63,6.88046355362674e-63
"chr7",92246023,92246148,"peak_11",51.9760135189003,"+",92246023,92246148,0,1,125,0,"ENSG00000001629",162,220,1.2215733517348,1.43508203870565e-16,2.25767215047509e-16
"chr7",92398244,92399119,"peak_12",640.868699540662,"+",92398244,92399119,0,1,875,0,"ENSG00000001629",712,1586,1.93550722215511,1.17770819053783e-194,1.20032307787761e-193
"chr7",92245948,92246148,"peak_13",49.4470679380398,"-",92245948,92246148,0,1,200,0,"ENSG00000001630.17,ENSG00000001631.16,ENSG00000285772.1,ENSG00000285953",107,167,1.42230096328333,8.50218538274867e-16,1.30301481331738e-15
"chr17",56891528,56891653,"peak_14",46.7726202636017,"+",56891528,56891653,0,1,125,0,"ENSG00000262112",44,103,2.00713259188546,5.60099357880208e-15,8.31837174366521e-15
"chr2",164694630,164694755,"peak_15",96.4322188287472,"-",164694630,164694755,0,1,125,0,"ENSG00000082438",48,177,2.66270670689829,4.0935106997775e-30,9.35426317130723e-30
"chr17",28554007,28554282,"peak_16",78.7993260411238,"-",28554007,28554282,0,1,275,0,"ENSG00000087111",142,243,1.55512902612281,9.42556724985046e-25,1.90124998447991e-24
"chr20",21162171,21162221,"peak_17",203.730653281526,"+",21162171,21162221,0,1,50,0,"ENSG00000088970",115,392,2.54928342938775,1.23450347945234e-62,4.68772715523238e-62
"chr16",519092,520267,"peak_18",53.808528161806,"+",519092,520267,0,1,1175,0,"ENSG00000090565",145,208,1.30059427296181,3.94464081043046e-17,6.33897444222105e-17
"chr22",45185231,45185656,"peak_19",81.2702942819323,"+",45185231,45185656,0,1,425,0,"ENSG00000093000",191,292,1.39245936312314,1.67077819864362e-25,3.42928567013423e-25
"chr10",50127761,50129834,"peak_20",36.2497639601108,"+",50127761,50129834,0,1,2073,0,"ENSG00000099290",102,142,1.25738544069637,9.40607681718269e-12,1.22386555579461e-11
"chr22",20953130,20953430,"peak_21",109.123410295893,"+",20953130,20953430,0,1,300,0,"ENSG00000099942",368,493,1.2019454935064,5.70776668612643e-34,1.41442613300445e-33
"chr22",28742063,28742113,"peak_22",245.478673207745,"+",28742063,28742113,0,1,50,0,"ENSG00000100209",714,1017,1.29038729897893,2.90788205625897e-75,1.26927600106753e-74
"chr22",41245653,41246103,"peak_23",26.6569832845692,"-",41245653,41246103,0,1,450,0,"ENSG00000100401",55,85,1.40809491792119,8.49923892692191e-09,9.45036184277851e-09
"chr14",70977095,70978545,"peak_24",24.6265891570027,"+",70977095,70978545,0,1,1450,0,"ENSG00000100731",54,81,1.36502619886402,3.60895414095723e-08,3.86062814834014e-08
"chr20",33811347,33811547,"peak_25",84.3869690900381,"+",33811347,33811547,0,1,200,0,"ENSG00000101421",210,314,1.36043886037199,1.8798149945851e-26,3.95358482150175e-26
"chrX",48902283,48902608,"peak_26",315.124000292847,"+",48902283,48902608,0,1,325,0,"ENSG00000102103",839,1238,1.34133219537442,2.58598210262526e-96,1.37474946146923e-95
"chr16",69462707,69462757,"peak_27",39.2985874168951,"+",69462707,69462757,0,1,50,0,"ENSG00000103018.17,ENSG00000260108",64,112,1.58741860242899,1.09372678055396e-12,1.47892585099649e-12
"chr16",23466241,23466391,"peak_28",23.4042818536019,"-",23466241,23466391,0,1,150,0,"ENSG00000103356.18,ENSG00000103365",22,49,1.93534192400203,8.6079980562703e-08,9.00760088868849e-08
"chr8",42319202,42319252,"peak_29",35.035666313504,"+",42319202,42319252,0,1,50,0,"ENSG00000104365",24,67,2.26119036609133,2.22181967764078e-11,2.83931463881894e-11
"chr19",47221371,47221946,"peak_30",33.3637657114721,"-",47221371,47221946,0,1,575,0,"ENSG00000105327.18,ENSG00000284411",8,53,3.50798366221878,7.24557016349033e-11,9.04702421090303e-11
"chr19",42080833,42081483,"peak_31",76.7040020222856,"+",42080833,42081483,0,1,650,0,"ENSG00000105732",156,253,1.47765499501504,4.09035086568997e-24,8.12446185218883e-24
"chr7",100107094,100107144,"peak_32",93.8526482766239,"-",100107094,100107144,0,1,50,0,"ENSG00000106290",131,254,1.73532532805115,2.49103618037423e-29,5.59162060053468e-29
"chr9",128806272,128808149,"peak_33",86.9621198295274,"+",128806272,128808149,0,1,1877,0,"ENSG00000107021",173,284,1.49518252673087,3.09689999861514e-27,6.63427461985728e-27
"chr10",89293583,89335433,"peak_34",23.4786093238475,"-",89293583,89335433,0,1,41850,0,"ENSG00000107798",28,55,1.75406850203053,8.15463148528169e-08,8.55528215124627e-08
"chr17",75662515,75662565,"peak_35",34.3521544644505,"-",75662515,75662565,0,1,50,0,"ENSG00000108469",29,71,2.07182981459557,3.60073078684923e-11,4.56006560161048e-11
"chr17",74768524,74768749,"peak_36",113.422015854949,"+",74768524,74768749,0,1,225,0,"ENSG00000109062.12,ENSG00000284186",218,365,1.52363195525413,2.82598055987124e-35,7.18738748333448e-35
"chr11",123057538,123057588,"peak_37",234.725735859945,"-",123057538,123057588,0,1,50,0,"ENSG00000109971.14,ENSG00000202252.1,ENSG00000207118",243,560,1.98453413255837,5.19734213336825e-72,2.19034614057957e-71
"chr12",6827119,6827194,"peak_38",102.444266509098,"+",6827119,6827194,0,1,75,0,"ENSG00000110811.20,ENSG00000250510",184,317,1.56484070585532,6.11607566805916e-32,1.44944885982121e-31
"chr12",6578429,6578978,"peak_39",133.205146592137,"-",6578429,6578978,0,1,549,0,"ENSG00000111641.12,ENSG00000111642.16,ENSG00000285238",210,386,1.65827514587259,2.83156891392837e-41,7.9662750833348e-41
"chr6",57183982,57184182,"peak_40",89.8838980921214,"+",57183982,57184182,0,1,200,0,"ENSG00000112208",106,224,1.85949811720717,4.0056519837637e-28,8.7548870420032e-28
"chr12",132583645,132584020,"peak_41",238.180322056388,"+",132583645,132584020,0,1,375,0,"ENSG00000112787",562,869,1.40884964944193,4.68543122258642e-73,1.99792271306027e-72
"chr5",136178943,136179168,"peak_42",41.6607814510978,"+",136178943,136179168,0,1,225,0,"ENSG00000113658.18,ENSG00000275646.1,ENSG00000277524",116,163,1.27081081518309,2.06110441485895e-13,2.87643881418445e-13
"chr3",51973816,51973891,"peak_43",144.283862072611,"+",51973816,51973891,0,1,75,0,"ENSG00000114786.16,ENSG00000248487",126,319,2.12019632927713,1.23979169714809e-44,3.68323667108749e-44
"chr2",75492948,75517851,"peak_44",40.988491538655,"-",75492948,75517851,0,1,24903,0,"ENSG00000115363",72,122,1.54087601142739,3.31520416933026e-13,4.58389403787629e-13
"chr19",929703,932649,"peak_45",39.6247776118012,"+",929703,932649,0,1,2946,0,"ENSG00000116017",18,68,2.697601460945,8.68281868811926e-13,1.1796505304688e-12
"chr1",156054781,156054906,"peak_46",64.2847406191625,"+",156054781,156054906,0,1,125,0,"ENSG00000116586",66,149,1.95483806951738,2.50186355833323e-20,4.45004917500963e-20
"chr1",205769360,205769685,"peak_47",53.744855030245,"-",205769360,205769685,0,1,325,0,"ENSG00000117280",31,100,2.46972354760525,4.12542744263278e-17,6.62500977326808e-17
"chr1",200848174,200848249,"peak_48",24.7042777481353,"+",200848174,200848249,0,1,75,0,"ENSG00000118200",8,38,3.02799081789007,3.41512895697648e-08,3.65823311382103e-08
"chr9",70413624,70414174,"peak_49",222.704087472751,"-",70413624,70414174,0,1,550,0,"ENSG00000119138",80,395,3.08384438507985,2.24927712032174e-68,9.10729729463932e-68
"chr14",74663120,74663395,"peak_50",57.7101432017978,"-",74663120,74663395,0,1,275,0,"ENSG00000119682",56,130,1.99507656527456,2.54007890639775e-18,4.2414645564364e-18
"chr20",47501961,47502011,"peak_51",325.518374342644,"+",47501961,47502011,0,1,50,0,"ENSG00000124151",675,1104,1.4898443642713,1.87155143061758e-99,1.02142194207785e-98
"chr6",44300155,44300730,"peak_52",21.1116684651848,"-",44300155,44300730,0,1,575,0,"ENSG00000124608",12,36,2.36502608449799,4.37309654866035e-07,4.41320938907146e-07
"chr19",49596062,49596587,"peak_53",Inf,"+",49596062,49596587,0,1,525,0,"ENSG00000126464",1839,5075,2.24454992997521,0,0
"chr12",67652656,67657586,"peak_54",205.806080999029,"+",67652656,67657586,0,1,4930,0,"ENSG00000127334",513,775,1.37530108928088,2.90561449706105e-63,1.11223441566072e-62
"chr22",50481567,50481792,"peak_55",61.6220354341691,"+",50481567,50481792,0,1,225,0,"ENSG00000128165",175,247,1.27721975683704,1.62510608152895e-19,2.81785693898762e-19
"chr15",40936555,40938369,"peak_56",59.7742743910798,"+",40936555,40938369,0,1,1814,0,"ENSG00000128917",112,187,1.51960319098918,5.95443554320175e-19,1.01426266460792e-18
"chr2",235040949,235041824,"peak_57",70.5943417004225,"+",235040949,235041824,0,1,875,0,"ENSG00000130147",195,279,1.29685463065346,2.97315528675791e-22,5.61029404576433e-22
"chr19",7083034,7083184,"peak_58",23.8940054156797,"+",7083034,7083184,0,1,150,0,"ENSG00000130544",11,39,2.60603412435999,6.07777077182472e-08,6.41486695249835e-08
"chrX",154476819,154477194,"peak_59",102.523101204199,"+",154476819,154477194,0,1,375,0,"ENSG00000130827",202,334,1.50555643877271,5.78753135569247e-32,1.37237023140336e-31
