"chr","chromStart","chromEnd","name","score","strand","thickStart","thickEnd","itemRgb","blockCount","blockSizes","blockStarts","geneID","ReadsCount.input","ReadsCount.IP","log2FoldChange","pvalue","padj"
"chr12",27798168,27798218,"peak_1",34.2578373166822,"+",27798168,27798218,0,1,50,0,"ENSG00000087448",34,78,1.93094633252981,3.68603296446043e-11,4.86814360650996e-11
"chr13",98577106,98577938,"peak_2",203.669030391979,"-",98577106,98577938,0,1,832,0,"ENSG00000102572",142,429,2.32809360768601,1.12184999334877e-62,4.89229531071577e-62
"chr4",140622089,140622789,"peak_3",134.778584026099,"-",140622089,140622789,0,1,700,0,"ENSG00000109436",65,255,2.70499253192384,8.47269543243879e-42,2.67672302692045e-41
"chrX",102602022,102602272,"peak_4",49.4825530676017,"+",102602022,102602272,0,1,250,0,"ENSG00000125962.14,ENSG00000158301.18,ENSG00000271147",56,122,1.85638935273926,7.8165681290268e-16,1.27135625655029e-15
"chr5",6372230,6372555,"peak_5",49.8581721093963,"-",6372230,6372555,0,1,325,0,"ENSG00000133398",150,212,1.23210866577917,5.99806142424636e-16,9.79929125756076e-16
"chr12",51353121,51353896,"peak_6",66.7558316727435,"-",51353121,51353896,0,1,775,0,"ENSG00000139629",202,287,1.23970233297698,4.1280956524806e-21,8.02587295852507e-21
"chr3",50188249,50188624,"peak_7",89.2094680872925,"+",50188249,50188624,0,1,375,0,"ENSG00000001617",42,166,2.71572892466593,5.87126079074287e-28,1.39725029022607e-27
"chr7",92398229,92399079,"peak_8",249.698947018001,"+",92398229,92399079,0,1,850,0,"ENSG00000001629",247,601,2.0158608247326,1.30625902149104e-76,6.80968561047344e-76
"chr7",43444375,43444775,"peak_9",73.4510138333376,"+",43444375,43444775,0,1,400,0,"ENSG00000002746",35,136,2.69118674196386,3.71822675579861e-23,7.74536028368091e-23
"chr11",65582289,65582914,"peak_10",21.7240509623224,"+",65582289,65582914,0,1,625,0,"ENSG00000173442.11,ENSG00000213445",70,93,1.14288274163524,2.77315503241531e-07,2.88674905959561e-07
"chr15",64681756,64682006,"peak_11",42.1462304171374,"+",64681756,64682006,0,1,250,0,"ENSG00000180357",110,163,1.30037535656019,1.38931944825257e-13,2.05456762439006e-13
"chr11",12937129,12937354,"peak_12",36.6383723739841,"+",12937129,12937354,0,1,225,0,"ENSG00000187079",99,144,1.27357530353317,6.82649457298955e-12,9.34869353439684e-12
"chr6",31817338,31817863,"peak_13",38.3556237908346,"+",31817338,31817863,0,1,525,0,"ENSG00000204389",51,101,1.71879308743264,2.0250125312159e-12,2.84319558813981e-12
"chr5",73447679,73447854,"peak_14",28.6890623477431,"-",73447679,73447854,0,1,175,0,"ENSG00000251493",43,79,1.61052295367079,1.9238639848621e-09,2.31063680037137e-09
"chr3",149960126,149960904,"peak_15",27.3943663872107,"+",149960126,149960904,0,1,778,0,"ENSG00000082996",17,51,2.31796941299634,4.81710105475557e-09,5.66857641160965e-09
"chrX",130015331,130015806,"peak_16",121.071270978539,"+",130015331,130015806,0,1,475,0,"ENSG00000085185",124,293,1.97356744314975,1.22266506699625e-37,3.5802703531325e-37
"chr20",58889463,58890706,"peak_17",21.7526530800229,"+",58889463,58890706,0,1,1243,0,"ENSG00000087460",18,44,2.02251356267258,2.71400648490085e-07,2.83008146891105e-07
"chr17",5559555,5559855,"peak_18",23.112609459617,"-",5559555,5559855,0,1,300,0,"ENSG00000091592.15,ENSG00000280489",7,36,3.09557654142154,1.02704145070971e-07,1.10258295555462e-07
"chr10",28591768,28595992,"peak_19",33.6496901298174,"+",28591768,28595992,0,1,4224,0,"ENSG00000095787",19,62,2.43927570834677,5.67148731047919e-11,7.42051292935682e-11
"chr19",1228411,1228486,"peak_20",88.2598494726111,"-",1228411,1228486,0,1,75,0,"ENSG00000099625",105,227,1.84530987763937,1.14185887971803e-27,2.69859614704723e-27
"chr22",26481825,26482125,"peak_21",30.8890943657227,"-",26481825,26482125,0,1,300,0,"ENSG00000100099",22,61,2.20431265786621,4.02892289902595e-10,5.02870381621131e-10
"chr22",36506608,36507099,"peak_22",20.9967732596325,"-",36506608,36507099,0,1,491,0,"ENSG00000100350",22,47,1.82816420182203,4.66131441985645e-07,4.77904848602799e-07
"chr14",60723719,60723894,"peak_23",51.5632827745748,"-",60723719,60723894,0,1,175,0,"ENSG00000100625",78,147,1.64727705231886,1.80577351621231e-16,3.00542026152401e-16
"chr20",25476147,25476772,"peak_24",48.987723082345,"-",25476147,25476772,0,1,625,0,"ENSG00000101004",40,105,2.12532436357715,1.1089902976387e-15,1.79153762291444e-15
"chr20",34749728,34750353,"peak_25",40.5117761838064,"-",34749728,34750353,0,1,625,0,"ENSG00000101464.10,ENSG00000198646",88,140,1.40285832406477,4.4064340967791e-13,6.37881770597834e-13
"chr13",95787106,95791073,"peak_26",47.9014978154994,"+",95787106,95791073,0,1,3967,0,"ENSG00000102580",22,86,2.69984003799586,2.38725459767796e-15,3.80375310869142e-15
"chr16",84744750,84745625,"peak_27",46.9508965528627,"+",84744750,84745625,0,1,875,0,"ENSG00000103194",105,166,1.39380083008916,4.66714715466646e-15,7.35142979716156e-15
"chr16",19705151,19705201,"peak_28",53.7449230507325,"+",19705151,19705201,0,1,50,0,"ENSG00000103544.14,ENSG00000261312",29,101,2.53323741158115,3.88510119876787e-17,6.62469742328504e-17
"chr19",15354259,15354434,"peak_29",24.5843132864291,"-",15354259,15354434,0,1,175,0,"ENSG00000105127",18,48,2.14804443277007,3.58050884341755e-08,3.97543153095943e-08
"chr7",100035720,100036045,"peak_30",349.27138814976,"+",100035720,100036045,0,1,325,0,"ENSG00000106261",245,741,2.32969866696389,1.00155602442511e-106,7.22496154219053e-106
"chr9",128806298,128808150,"peak_31",42.4271959960125,"+",128806298,128808150,0,1,1852,0,"ENSG00000107021",103,157,1.34112714022377,1.14020033947599e-13,1.69099130034462e-13
"chr4",141233861,141234036,"peak_32",29.3438112952125,"+",141233861,141234036,0,1,175,0,"ENSG00000109445",34,71,1.79529124037341,1.21048032074607e-09,1.46768417996974e-09
"chr11",118751615,118752015,"peak_33",225.681288893178,"-",118751615,118752015,0,1,400,0,"ENSG00000110367",706,1006,1.24389707279763,2.43260274042847e-69,1.15654512689127e-68
"chr12",6390741,6391566,"peak_34",Inf,"+",6390741,6391566,0,1,825,0,"ENSG00000111321",1886,4838,2.09208793738473,0,0
"chr6",148548324,148548899,"peak_35",258.247995049452,"+",148548324,148548899,0,1,575,0,"ENSG00000111961",531,895,1.4861826817977,3.37125304905263e-79,1.8180556389128e-78
"chr6",75253923,75254198,"peak_36",34.2137266579967,"-",75253923,75254198,0,1,275,0,"ENSG00000112697",99,140,1.23293331996855,3.80782701182457e-11,5.01928680802118e-11
"chr5",39381612,39383013,"peak_37",39.8218511396839,"-",39381612,39383013,0,1,1401,0,"ENSG00000113600.10,ENSG00000153071",177,218,1.03358567185941,7.16121492046731e-13,1.02903068207519e-12
"chr2",100391859,100393034,"peak_38",69.343802050141,"-",100391859,100393034,0,1,1175,0,"ENSG00000115526",225,312,1.2046279130418,6.68540745499499e-22,1.33485953957152e-21
"chr2",73572516,73572866,"peak_39",21.7349236054601,"+",73572516,73572866,0,1,350,0,"ENSG00000116127",32,58,1.59098797156562,2.75061727258573e-07,2.86507530459567e-07
"chr1",114581515,114581590,"peak_40",229.065906631576,"-",114581515,114581590,0,1,75,0,"ENSG00000116752",125,450,2.58100379721,2.30630556550034e-70,1.10736583402333e-69
"chr1",99307075,99307275,"peak_41",71.9988466011861,"+",99307075,99307275,0,1,200,0,"ENSG00000117600",155,252,1.43416241559069,1.03275724351675e-22,2.11927599950514e-22
"chr6",127286809,127287659,"peak_42",Inf,"+",127286809,127287659,0,1,850,0,"ENSG00000118518",6610,11394,1.51855897328555,0,0
"chr9",113373693,113374093,"peak_43",290.772285439288,"-",113373693,113374093,0,1,400,0,"ENSG00000119431",1037,1412,1.17833104541291,4.89913228581062e-89,2.94320271202359e-88
"chr5",168566133,168568662,"peak_44",24.1930048436167,"-",168566133,168568662,0,1,2529,0,"ENSG00000120137.6,ENSG00000253861",62,90,1.27066373716339,4.73952828180124e-08,5.21410601116121e-08
"chr17",61408262,61409112,"peak_45",19.5962067070306,"+",61408262,61409112,0,1,850,0,"ENSG00000121068",27,50,1.62197566894223,1.25379721971867e-06,1.26169383202377e-06
"chr16",3486486,3486811,"peak_46",25.1885595523121,"+",3486486,3486811,0,1,325,0,"ENSG00000122390.17,ENSG00000262621.4,ENSG00000263212",26,57,1.86545726109226,2.33006499499947e-08,2.61509835300381e-08
"chr12",26339043,26339168,"peak_47",52.2140088950864,"-",26339043,26339168,0,1,125,0,"ENSG00000123104.11,ENSG00000256185",67,137,1.76494982360158,1.14179245678868e-16,1.91433142537498e-16
"chr20",47636619,47636694,"peak_48",346.597362847858,"+",47636619,47636694,0,1,75,0,"ENSG00000124151.18,ENSG00000280970",603,1097,1.59634047626399,6.46875768485692e-106,4.6110238096282e-105
"chr6",21594468,21594718,"peak_49",82.7174113826804,"+",21594468,21594718,0,1,250,0,"ENSG00000124766",287,390,1.1754302645166,5.55955026964642e-26,1.25770274890525e-25
"chr9",132402125,132402225,"peak_50",94.2993104606297,"-",132402125,132402225,0,1,100,0,"ENSG00000125482",282,405,1.25523362271355,1.65952670674782e-29,4.10278709607334e-29
"chrX",102650047,102713783,"peak_51",876.549645374415,"+",102650047,102713783,0,1,63736,0,"ENSG00000125962.14,ENSG00000158301.18,ENSG00000271147",901,2157,1.99243401633415,6.9791499640435e-266,1.35601362626092e-264
"chr14",60653053,60658254,"peak_52",163.161414459021,"-",60653053,60658254,0,1,5201,0,"ENSG00000126778",191,421,1.87325447962019,2.11007961708816e-50,7.64751104465423e-50
"chr16",687845,688001,"peak_53",22.8598510025766,"-",687845,688001,0,1,156,0,"ENSG00000127580",60,86,1.25238111321344,1.23000033046551e-07,1.31370892926053e-07
"chr7",128844914,128845039,"peak_54",25.2008616666946,"+",128844914,128845039,0,1,125,0,"ENSG00000128591",12,43,2.57430907445218,2.30803626158093e-08,2.59289375515625e-08
"chr17",77215826,77216176,"peak_55",124.1326207768,"+",77215826,77216176,0,1,350,0,"ENSG00000129657.14,ENSG00000234912",107,280,2.12082293321507,1.43985755615791e-38,4.28901638951521e-38
"chr19",17726254,17727229,"peak_56",92.2146667854974,"+",17726254,17727229,0,1,975,0,"ENSG00000130479",66,193,2.28106983611401,7.14929807014345e-29,1.7402805140273e-28
"chr19",10092161,10092611,"peak_57",139.32108085318,"+",10092161,10092611,0,1,450,0,"ENSG00000130813",302,495,1.44588684953495,3.55850573516836e-43,1.14861804505682e-42
"chr5",140401838,140402138,"peak_58",22.4626484712733,"+",140401838,140402138,0,1,300,0,"ENSG00000131503.20,ENSG00000243056.1,ENSG00000254996",35,62,1.55792026737986,1.63160087249996e-07,1.73009132336042e-07
"chr1",155868077,155868552,"peak_59",99.3110322479454,"+",155868077,155868552,0,1,475,0,"ENSG00000132718",34,177,3.11314960629757,4.98232484361599e-31,1.27174603715616e-30
"chr22",30967915,30968290,"peak_60",24.5984580345254,"-",30967915,30968290,0,1,375,0,"ENSG00000133422",16,46,2.25656886801436,3.54033343912858e-08,3.93664528927757e-08
"chr1",201648585,201648685,"peak_61",181.993560198199,"+",201648585,201648685,0,1,100,0,"ENSG00000134369",556,798,1.25431072398125,4.12629116386343e-56,1.63862419328569e-55
"chr9",83707961,83708036,"peak_62",242.151400682874,"-",83707961,83708036,0,1,75,0,"ENSG00000135018",287,631,1.86959614082152,2.50997184708066e-74,1.27398672427524e-73
"chr2",73228280,73228530,"peak_63",80.7543679406359,"-",73228280,73228530,0,1,250,0,"ENSG00000135617",134,245,1.60355564976138,2.20740940007266e-25,4.90357665725356e-25
"chr12",100338629,100338954,"peak_64",65.000104089334,"+",100338629,100338954,0,1,325,0,"ENSG00000136021",54,142,2.12786654750404,1.4131724249194e-20,2.71030987739299e-20
"chr9",124869113,124869213,"peak_65",246.155098860496,"+",124869113,124869213,0,1,100,0,"ENSG00000136950",311,661,1.82074256210978,1.54409313287503e-75,7.94203245296233e-75
"chr11",71995487,71996605,"peak_66",57.8574888311192,"+",71995487,71996605,0,1,1118,0,"ENSG00000137522",218,286,1.12469389943134,2.14674213407696e-18,3.82966149325358e-18
"chr10",110510279,110510829,"peak_67",38.0935649542807,"+",110510279,110510829,0,1,550,0,"ENSG00000138166",91,139,1.34415335780289,2.43404774339848e-12,3.40952835833816e-12
"chr4",76741735,76741960,"peak_68",62.8948604250684,"+",76741735,76741960,0,1,225,0,"ENSG00000138771",216,293,1.17287623950442,6.21634354179922e-20,1.16616617105024e-19
"chr12",51351871,51352346,"peak_69",521.708973840616,"-",51351871,51352346,0,1,475,0,"ENSG00000139629",774,1522,1.70856974093265,8.11698880508776e-159,8.91148061868517e-158
"chr15",78280280,78280605,"peak_70",Inf,"+",78280280,78280605,0,1,325,0,"ENSG00000140403",1057,2693,2.08224570215409,0,0
"chr16",57025504,57025629,"peak_71",48.197959938931,"+",57025504,57025629,0,1,125,0,"ENSG00000140853",26,90,2.52442030024201,1.93639032269637e-15,3.09719342455557e-15
"chr21",45981736,45981836,"peak_72",26.4366699997769,"+",45981736,45981836,0,1,100,0,"ENSG00000142156",11,44,2.73300677120905,9.56838552336699e-09,1.10095443327548e-08
"chr1",167936007,167936082,"peak_73",69.5875350628323,"+",167936007,167936082,0,1,75,0,"ENSG00000143164",80,175,1.86228993697103,5.63194689293958e-22,1.1273651923905e-21
