"chr","chromStart","chromEnd","name","score","strand","thickStart","thickEnd","itemRgb","blockCount","blockSizes","blockStarts","geneID","ReadsCount.input","ReadsCount.IP","log2FoldChange","pvalue","padj"
"chr20",50958498,50958548,"peak_1",22.3675424313029,"-",50958498,50958548,0,1,50,0,"ENSG00000000419",34,106,1.44781273563583,1.77395808903996e-07,1.84798651967694e-07
"chr2",233477219,233481243,"peak_2",28.5524138359655,"-",233477219,233481243,0,1,4024,0,"ENSG00000085982",66,176,1.22239256198353,2.17565826864002e-09,2.54019459008618e-09
"chrX",3310714,3310764,"peak_3",37.5753882934209,"-",3310714,3310764,0,1,50,0,"ENSG00000101825",28,133,2.05528261504938,3.65265639799296e-12,4.88293591992856e-12
"chr17",64506289,64506364,"peak_4",30.0223341979297,"-",64506289,64506364,0,1,75,0,"ENSG00000108654.16,ENSG00000284368.1,ENSG00000284564",12,88,2.6818241492455,7.67197061995175e-10,9.17015901421031e-10
"chr17",72124585,72124685,"peak_5",123.219874705801,"+",72124585,72124685,0,1,100,0,"ENSG00000125398",82,441,2.23443785955101,2.96962712825475e-38,8.07461179069895e-38
"chr20",23354159,23354659,"peak_6",72.7245082296756,"+",23354159,23354659,0,1,500,0,"ENSG00000132661",50,259,2.18030715063404,6.62058508330412e-23,1.28156784701875e-22
"chr2",203427228,203427328,"peak_7",33.1583546293076,"+",203427228,203427328,0,1,100,0,"ENSG00000138443",18,105,2.35167561292067,8.30991466798197e-11,1.04313531780396e-10
"chr3",101821507,101822132,"peak_8",143.161343109867,"+",101821507,101822132,0,1,625,0,"ENSG00000144802.11,ENSG00000144815",75,482,2.49142566342449,2.66559241083077e-44,8.01939313416538e-44
"chr1",24419387,24419637,"peak_9",41.8846741905756,"+",24419387,24419637,0,1,250,0,"ENSG00000001461",88,248,1.30211972713732,1.74484400844255e-13,2.46295632133545e-13
"chr1",24469030,24469355,"peak_10",51.9874709982711,"+",24469030,24469355,0,1,325,0,"ENSG00000001461",56,218,1.76818446159881,1.40889170080839e-16,2.23981336009909e-16
