"chr","chromStart","chromEnd","name","score","strand","thickStart","thickEnd","itemRgb","blockCount","blockSizes","blockStarts","geneID","ReadsCount.input","ReadsCount.IP","log2FoldChange","pvalue","padj"
"chr1",169783884,169794823,"peak_1",28.279282415465,"+",169783884,169794823,0,1,10939,0,"ENSG00000000460",28,86,1.83650143598109,2.45056540243829e-09,3.06964206135259e-09
"chr12",111644020,111644420,"peak_2",144.287047732565,"-",111644020,111644420,0,1,400,0,"ENSG00000089234",413,825,1.21584380683765,1.01495771437326e-44,3.67511257405906e-44
"chr16",86533702,86540796,"peak_3",86.3390045991811,"-",86533702,86540796,0,1,7094,0,"ENSG00000103248",71,257,2.07346896427541,4.11437090380717e-27,1.02180922654427e-26
"chr14",73103168,73106048,"peak_4",43.1329969703373,"+",73103168,73106048,0,1,2880,0,"ENSG00000119707",45,138,1.83426293199132,6.48856351493751e-14,1.03675015518932e-13
"chr22",50483751,50483901,"peak_5",107.564146114792,"+",50483751,50483901,0,1,150,0,"ENSG00000128165",66,292,2.36302197041374,1.43722602545385e-33,4.16836328014687e-33
"chr16",67247301,67247476,"peak_6",25.4315700899167,"-",67247301,67247476,0,1,175,0,"ENSG00000135723",86,155,1.06745119837116,1.86952585094452e-08,2.2097063621885e-08
"chr16",29973867,29974192,"peak_7",34.0997147831928,"+",29973867,29974192,0,1,325,0,"ENSG00000149930",52,130,1.53951966749985,3.92314042788344e-11,5.432040592454e-11
"chr1",24469255,24469305,"peak_8",20.0388306031856,"+",24469255,24469305,0,1,50,0,"ENSG00000001461",25,66,1.61812955641456,8.94289325864525e-07,9.28348222932271e-07
"chr19",2444494,2456959,"peak_9",90.1485221572509,"-",2444494,2456959,0,1,12465,0,"ENSG00000176619.13,ENSG00000283728",58,247,2.30797777556924,2.84582067078803e-28,7.28770468843535e-28
"chrX",53077155,53077480,"peak_10",32.3533263227868,"+",53077155,53077480,0,1,325,0,"ENSG00000184194",92,178,1.16976301496428,1.35436380718007e-10,1.82254523986711e-10
"chr9",137077516,137077741,"peak_11",46.5869736672276,"+",137077516,137077741,0,1,225,0,"ENSG00000197355",131,258,1.19539577034253,5.66386185487573e-15,9.46070539783725e-15
"chr10",117486219,117486294,"peak_12",159.626258908631,"-",117486219,117486294,0,1,75,0,"ENSG00000229847",270,671,1.53094483909511,2.25202265072634e-49,8.86559673504646e-49
"chr11",33705635,33705710,"peak_13",26.073344740315,"-",33705635,33705710,0,1,75,0,"ENSG00000085063.17,ENSG00000205177.6,ENSG00000284969",71,138,1.17636889720826,1.18229001704422e-08,1.41625398827246e-08
"chr12",112013347,112013497,"peak_14",26.3531040625975,"+",112013347,112013497,0,1,150,0,"ENSG00000089248",61,126,1.26413415564203,9.68342259809655e-09,1.16660866626336e-08
"chr3",133587950,133588625,"peak_15",68.220183311087,"+",133587950,133588625,0,1,675,0,"ENSG00000091527",52,196,2.13186167688709,1.35936205939815e-21,2.9085632580723e-21
"chr6",12161556,12161731,"peak_16",27.0375200207381,"+",12161556,12161731,0,1,175,0,"ENSG00000095951.17,ENSG00000229896",92,166,1.06906901789663,5.94695423822288e-09,7.25931204887567e-09
