"chr","chromStart","chromEnd","name","score","strand","thickStart","thickEnd","itemRgb","blockCount","blockSizes","blockStarts","geneID","ReadsCount.input","ReadsCount.IP","log2FoldChange","pvalue","padj"
"chr20",50958448,50958548,"peak_1",31.4318031072741,"-",50958448,50958548,0,1,100,0,"ENSG00000000419",83,119,1.27879406198129,2.85631527419677e-10,3.45210857745295e-10
"chr12",1494099,1494699,"peak_2",38.6135805791648,"+",1494099,1494699,0,1,600,0,"ENSG00000082805",21,70,2.49598130413489,1.78138754632757e-12,2.3776832902488e-12
"chr14",23090604,23094979,"peak_3",44.4768801374625,"-",23090604,23094979,0,1,4375,0,"ENSG00000100813",34,91,2.17934753796452,2.83496964628608e-14,4.08436894165695e-14
"chr7",99419138,99419363,"peak_4",91.1195726475136,"-",99419138,99419363,0,1,225,0,"ENSG00000106246.17,ENSG00000241468.7,ENSG00000248919",51,174,2.52953387049621,1.68749447665934e-28,3.71770941278443e-28
"chr5",133959529,133959904,"peak_5",29.3661445807306,"-",133959529,133959904,0,1,375,0,"ENSG00000113583",16,52,2.45945540406949,1.2375233708067e-09,1.4451390089419e-09
"chr8",101205554,101205950,"peak_6",107.624280745364,"-",101205554,101205950,0,1,396,0,"ENSG00000120963",54,201,2.65517990046957,1.62706724765379e-33,3.99818820741835e-33
"chr7",130070659,130070709,"peak_7",94.3645398222038,"+",130070659,130070709,0,1,50,0,"ENSG00000128607",98,225,1.95808705393495,1.74051807661631e-29,3.92141663199032e-29
"chr11",128522091,128536492,"peak_8",53.2180248098795,"-",128522091,128536492,0,1,14401,0,"ENSG00000134954",151,215,1.26880380914224,6.00605945521985e-17,9.54505031930947e-17
"chr15",43369732,43369832,"peak_9",88.7167064603833,"-",43369732,43369832,0,1,100,0,"ENSG00000140265",205,320,1.40146368026174,9.06126341700135e-28,1.96612098651696e-27
"chr3",50188224,50188674,"peak_10",203.18604201315,"+",50188224,50188674,0,1,450,0,"ENSG00000001617",115,396,2.54288226088092,1.80595583065864e-62,6.83764664771456e-62
"chr7",92398254,92399129,"peak_11",638.57455109992,"+",92398254,92399129,0,1,875,0,"ENSG00000001629",690,1580,1.95427194433916,5.83355184171403e-194,5.88715745323248e-193
"chr7",92246077,92246152,"peak_12",34.5673506957403,"-",92246077,92246152,0,1,75,0,"ENSG00000001631.14,ENSG00000243107",93,133,1.27513934786191,3.10129968843619e-11,3.92817267185235e-11
"chr7",92245952,92246052,"peak_13",38.5068113324475,"-",92245952,92246052,0,1,100,0,"ENSG00000001631.14,ENSG00000243107",84,131,1.40012130491392,1.91928989222916e-12,2.56032296436382e-12
"chr11",64284546,64284696,"peak_14",45.8812364922072,"-",64284546,64284696,0,1,150,0,"ENSG00000002330",44,103,1.98608464885672,1.05448429302389e-14,1.54302007974226e-14
"chr7",93132879,93133129,"peak_15",94.1076913846,"-",93132879,93133129,0,1,250,0,"ENSG00000177409",46,174,2.67839725341321,2.08386809478465e-29,4.6855661175788e-29
"chr22",41693970,41694795,"peak_16",77.6631768223602,"+",41693970,41694795,0,1,825,0,"ENSG00000184208",191,290,1.361495949916,2.09451091352252e-24,4.17882532414141e-24
"chr4",139718652,139719002,"peak_17",24.6229165456937,"-",139718652,139719002,0,1,350,0,"ENSG00000196782",54,82,1.361680256697,3.60994956700472e-08,3.87046851546582e-08
"chr12",132077877,132077927,"peak_18",81.9134872269531,"-",132077877,132077927,0,1,50,0,"ENSG00000257000",210,314,1.33939091587649,1.0637041968352e-25,2.19575204169802e-25
"chr2",61537785,61538543,"peak_19",292.101582586691,"-",61537785,61538543,0,1,758,0,"ENSG00000082898",453,856,1.67711540747539,2.34354200554497e-89,1.17128305529959e-88
"chrX",77652248,77652323,"peak_20",38.3644620888977,"-",77652248,77652323,0,1,75,0,"ENSG00000085224",64,112,1.56637065889905,2.12101274621889e-12,2.82583073063082e-12
"chr12",120226545,120226870,"peak_21",34.4410416863253,"-",120226545,120226870,0,1,325,0,"ENSG00000089159",22,65,2.32195192024841,3.39781969697417e-11,4.2875911961743e-11
"chr16",24790220,24791345,"peak_22",33.0153895503844,"+",24790220,24791345,0,1,1125,0,"ENSG00000090905",8,53,3.48693572631152,9.31832524703069e-11,1.15180093516152e-10
"chr17",41382316,41382391,"peak_23",78.8167357462573,"-",41382316,41382391,0,1,75,0,"ENSG00000094796.4,ENSG00000131737.5,ENSG00000131738",142,246,1.55178308330239,9.3268243152427e-25,1.87844455194802e-24
"chr19",38331232,38331382,"peak_24",91.6831529286344,"+",38331232,38331382,0,1,150,0,"ENSG00000099337",131,254,1.71427738377732,1.13835089212356e-28,2.51548001582749e-28
"chr22",30428647,30428972,"peak_25",84.6414362868301,"+",30428647,30428972,0,1,325,0,"ENSG00000100003.17,ENSG00000242114.5,ENSG00000249590",173,284,1.47413458231703,1.57755087547972e-26,3.31427698933305e-26
"chr22",50446424,50446499,"peak_26",23.005012158909,"-",50446424,50446499,0,1,75,0,"ENSG00000100241",28,55,1.73302056022846,1.14391295754151e-07,1.18795855535043e-07
"chr22",46686160,46686435,"peak_27",33.7380713660559,"-",46686160,46686435,0,1,275,0,"ENSG00000100422",29,71,2.05078187253275,5.58514949934012e-11,6.97956768090228e-11
"chr14",23080401,23080801,"peak_28",110.41747312703,"-",23080401,23080801,0,1,400,0,"ENSG00000100813",218,365,1.50258401072766,2.31264122619318e-34,5.76804371734065e-34
"chr20",62841864,62841989,"peak_29",229.856105588316,"-",62841864,62841989,0,1,125,0,"ENSG00000101190",243,560,1.96348618795908,1.54723662660917e-70,6.40350173323002e-70
"chr18",76442554,76442979,"peak_30",99.8077245699988,"-",76442554,76442979,0,1,425,0,"ENSG00000101493",184,317,1.54379276140272,3.86373821003369e-31,9.01324352952881e-31
"chr13",49203260,49207456,"peak_31",129.940967194537,"+",49203260,49207456,0,1,4196,0,"ENSG00000102531",210,386,1.63722720135107,2.76531503139323e-40,7.65369600930662e-40
"chr16",83899175,83899225,"peak_32",87.9465977758622,"+",83899175,83899225,0,1,50,0,"ENSG00000103150.5,ENSG00000260300",106,224,1.83845017307475,1.55528372326892e-27,3.3530192971629e-27
"chr16",17470602,17470652,"peak_33",230.58600251434,"-",17470602,17470652,0,1,50,0,"ENSG00000103489",562,868,1.38614057029772,9.30603879655164e-71,3.8609720962582e-70
"chr8",42193210,42193643,"peak_34",40.4179185306618,"-",42193210,42193643,0,1,433,0,"ENSG00000104368",116,163,1.24976287107042,4.96825708845883e-13,6.80760204333146e-13
"chr19",2236932,2237299,"peak_35",141.507580485714,"-",2236932,2237299,0,1,367,0,"ENSG00000104886.9,ENSG00000276587",126,319,2.09914838498806,8.60030821630087e-44,2.52332772757995e-43
